method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,exploration,seed,leaf_size,node_budget,start_depth,candidate_target
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d768/routers/ivf-1024-seed42,main-s00019,100,405,1,1000,1,True,True,0.62332,16.43581250027637,31.38353570047911,16973.759875018004,16.43581250027637,16.43581250027637,16.43581250027637,203170304,441352192,64269.854,8192.0,117914.54,20535.025,0.0,0.0,0.0,0,42,128,8192,,
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d768/routers/ivf-1024-seed42,main-s00018,100,137,1,1000,1,True,True,0.95037,19.408791500609368,20.575853550690226,19373.821165983827,19.408791500609368,19.408791500609368,19.408791500609368,203170304,441352192,138394.386,140.721,79.518,2278.416,0.0,0.0,0.0,0,42,2048,8192,,
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d768/routers/ivf-1024-seed42,main-s00023,100,405,1,1000,1,True,True,0.99012,56.42539549990033,58.182698199561855,56333.30900499277,56.42539549990033,56.42539549990033,56.42539549990033,108000000,292683776,405446.86,0.0,0.0,0.0,1.0,0.0,0.0,,,,,0,0
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d768/routers/ivf-1024-seed42,main-s00022,100,137,1,1000,1,True,True,0.91604,17.976020999412867,20.149233000483946,17493.856351055,17.976020999412867,17.976020999412867,17.976020999412867,108000000,292683776,124359.203,0.0,0.0,0.0,3.859,909.954,1.141,,,,,4,100000
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d768/routers/ivf-1024-seed42,main-s00021,100,137,1,1000,1,True,True,0.95037,19.400061999476748,20.547077397168323,19348.13806603779,19.400061999476748,19.400061999476748,19.400061999476748,108000000,292683776,138394.386,0.0,0.0,0.0,1.0,0.0,0.0,,,,,0,0
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d768/routers/ivf-4096-seed42,main-s00027,100,382,1,1000,1,True,True,0.94883,15.469666499484447,16.730991648728377,15348.830877876026,15.469666499484447,15.469666499484447,15.469666499484447,212441600,505528320,92323.769,6712.149,20025.169,13577.765,0.0,0.0,0.0,0,42,128,8192,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d768/routers/ivf-4096-seed42,main-s00028,100,382,1,1000,1,True,True,0.95,13.663353998708772,14.510014300321927,13655.89414297574,13.663353998708772,13.663353998708772,13.663353998708772,212441600,505528320,95495.352,382.0,0.0,1680.932,0.0,0.0,0.0,0,42,2048,8192,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d768/routers/ivf-4096-seed42,main-s00030,100,1299,1,1000,1,True,True,0.99007,45.078583500071545,46.583206547984446,45073.24348601833,45.078583500071545,45.078583500071545,45.078583500071545,212441600,505528320,320965.851,1299.0,0.0,5659.593,0.0,0.0,0.0,0,42,2048,8192,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d768/routers/ivf-4096-seed42,main-s00034,100,1299,1,1000,1,True,True,0.73882,26.65331249954761,45.57816934920993,27270.32541399967,26.65331249954761,26.65331249954761,26.65331249954761,108000000,318423040,190405.344,0.0,0.0,0.0,2.179,5422.026,2.821,,,,,4,100000
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d768/routers/ivf-4096-seed42,main-s00031,100,382,1,1000,1,True,True,0.95,13.68816649846849,14.549156549946929,13674.047172982682,13.68816649846849,13.68816649846849,13.68816649846849,108000000,318423040,95495.352,0.0,0.0,0.0,1.0,0.0,0.0,,,,,0,0
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d768/routers/ivf-4096-seed42,main-s00033,100,1299,1,1000,1,True,True,0.99007,45.2273540013266,46.71383539825911,45209.732092953345,45.2273540013266,45.2273540013266,45.2273540013266,108000000,318423040,320965.851,0.0,0.0,0.0,1.0,0.0,0.0,,,,,0,0
branch,1,,main-s00001,100,1,1,16,0,False,False,0.94625,193.92660399898887,223.72191625072446,3148.4579569987545,193.92660399898887,193.92660399898887,193.92660399898887,200000000,0,139073.0,8192.0,92122070.3125,35877929.6875,0.0,0.0,0.0,0,42,128,8192,,
prefix,1,,main-s00004,100,1,1,0,0,False,False,,,,0,,,,0,0,,,,,,,,,,,,4,100000
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d768/routers/ivf-64-seed42,main-s00008,100,18,1,0,0,False,False,,,,0,,,,0,0,,,,,,,,0,42,2048,8192,,
prefix,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d768/routers/ivf-64-seed42,main-s00012,100,18,1,0,0,False,False,,,,0,,,,0,0,,,,,,,,,,,,4,100000
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d768/routers/ivf-1024-seed42,main-s00017,100,137,1,0,0,False,False,,,,0,,,,0,0,,,,,,,,0,42,128,8192,,
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d768/routers/ivf-1024-seed42,main-s00024,100,405,1,0,0,False,False,,,,0,,,,0,0,,,,,,,,,,,,4,100000
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d768/routers/ivf-4096-seed42,main-s00029,100,1299,1,0,0,False,False,,,,0,,,,0,0,,,,,,,,0,42,128,8192,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d768/routers/ivf-4096-seed42,main-s00032,100,382,1,0,0,False,False,,,,0,,,,0,0,,,,,,,,,,,,4,100000
