method,clusters,router,setting_id,top_k,probes,repetitions,exploration,seed,leaf_size,node_budget,prefer_deeper_ties,source_setting_id,source_target,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00033,100,287,1,0.2,7,2048,8192,False,main-s00295,0.95,1000,1,True,True,0.95014,2.6258545003656764,2.767058351673768,2622.3150370569783,2.6258545003656764,2.6258545003656764,2.6258545003656764,24260096,115032064,276002.194,288.343,30.63,4471.785,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00019,100,287,1,0,23,2048,128,False,main-s00295,0.95,1000,1,True,True,0.85747,1.2324580002314178,1.334962200235168,1245.735227905243,1.2324580002314178,1.2324580002314178,1.2324580002314178,24260096,115032064,122408.406,128.0,4.911,1975.184,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00016,1,114,1,0.2,23,2048,8192,False,main-s00259,0.95,1000,1,True,True,0.95,0.9991460010496667,1.0784190973936347,998.9210499988985,0.9991460010496667,0.9991460010496667,0.9991460010496667,24260096,114982912,109286.333,114.556,15.024,1769.021,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00006,1,114,1,0.2,7,2048,128,False,main-s00259,0.95,1000,1,True,True,0.95,1.0054585000034422,1.0877687491301913,1005.6134380247386,1.0054585000034422,1.0054585000034422,1.0054585000034422,24260096,114982912,109293.49,114.576,15.024,1769.771,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00010,1,114,1,0,23,2048,8192,False,main-s00259,0.95,1000,1,True,True,0.95,1.0038750006060582,1.0840791495866142,1002.3681980383117,1.0038750006060582,1.0038750006060582,1.0038750006060582,24260096,114982912,109276.759,114.501,15.024,1767.086,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00030,100,287,1,0.1,7,2048,8192,False,main-s00295,0.95,1000,1,True,True,0.95014,2.5821459985309048,2.7368527014914434,2580.7661489852762,2.5821459985309048,2.5821459985309048,2.5821459985309048,24260096,114671616,276002.194,288.343,30.63,4471.785,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00023,100,287,1,0.1,42,2048,128,False,main-s00295,0.95,1000,1,True,True,0.85302,1.2104165016353363,1.2971458498213906,1207.7052920030837,1.2104165016353363,1.2104165016353363,1.2104165016353363,24260096,114671616,122426.304,128.0,4.971,1975.499,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00034,100,287,1,0.2,23,2048,8192,False,main-s00295,0.95,1000,1,True,True,0.95014,2.594145998955355,2.7424082998550148,2590.296023940027,2.594145998955355,2.594145998955355,2.594145998955355,24260096,114671616,276002.088,288.339,30.63,4471.653,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00015,1,114,1,0.2,7,2048,8192,False,main-s00259,0.95,1000,1,True,True,0.95,1.014313000268885,1.096802402389585,1012.8308939783892,1.014313000268885,1.014313000268885,1.014313000268885,24260096,114802688,109293.51,114.579,15.024,1769.888,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00001,1,114,1,0,23,2048,128,False,main-s00259,0.95,1000,1,True,True,0.95,1.0169164979743073,1.0996541521308245,1015.1048570478451,1.0169164979743073,1.0169164979743073,1.0169164979743073,24260096,114802688,109276.744,114.499,15.024,1767.008,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00011,1,114,1,0,42,2048,8192,False,main-s00259,0.95,1000,1,True,True,0.95,1.015125002595596,1.101547948383086,1015.0129799367278,1.015125002595596,1.015125002595596,1.015125002595596,24260096,114802688,109276.759,114.501,15.024,1767.086,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00020,100,287,1,0,42,2048,128,False,main-s00295,0.95,1000,1,True,True,0.85747,1.2305839991313405,1.312228851747932,1226.4180669590132,1.2305839991313405,1.2305839991313405,1.2305839991313405,24260096,115179520,122408.406,128.0,4.911,1975.184,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00018,100,287,1,0,7,2048,128,False,main-s00295,0.95,1000,1,True,True,0.85747,1.2266044977877755,1.302097597545071,1222.110324062669,1.2266044977877755,1.2266044977877755,1.2266044977877755,24260096,115179520,122408.406,128.0,4.911,1975.184,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00022,100,287,1,0.1,23,2048,128,False,main-s00295,0.95,1000,1,True,True,0.8534,1.2279795009817462,1.3082687473797705,1224.8991180531448,1.2279795009817462,1.2279795009817462,1.2279795009817462,24260096,115179520,122372.577,128.0,5.22,1974.661,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00002,1,114,1,0,42,2048,128,False,main-s00259,0.95,1000,1,True,True,0.95,1.0369170013291296,1.1157131510117324,1034.3514080304885,1.0369170013291296,1.0369170013291296,1.0369170013291296,24260096,114966528,109276.744,114.499,15.024,1767.008,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00014,1,114,1,0.1,42,2048,8192,False,main-s00259,0.95,1000,1,True,True,0.95,1.0361249987909105,1.1152625009344774,1034.3974850438826,1.0361249987909105,1.0361249987909105,1.0361249987909105,24260096,114966528,109278.777,114.512,15.024,1767.515,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00017,1,114,1,0.2,42,2048,8192,False,main-s00259,0.95,1000,1,True,True,0.95,1.0356875009165378,1.1170624997248524,1034.8979149894149,1.0356875009165378,1.0356875009165378,1.0356875009165378,24260096,114966528,109290.201,114.567,15.024,1769.432,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00027,100,287,1,0,7,2048,8192,False,main-s00295,0.95,1000,1,True,True,0.95014,2.6072499986184994,2.7473896014271304,2603.6595569821657,2.6072499986184994,2.6072499986184994,2.6072499986184994,24260096,114982912,276001.562,288.338,30.63,4471.62,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00025,100,287,1,0.2,23,2048,128,False,main-s00295,0.95,1000,1,True,True,0.84676,1.2309585017646896,1.3145125010851189,1229.3921320597292,1.2309585017646896,1.2309585017646896,1.2309585017646896,24260096,114982912,122484.887,128.0,5.745,1976.455,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00021,100,287,1,0.1,7,2048,128,False,main-s00295,0.95,1000,1,True,True,0.85219,1.2185829982627183,1.303756252855237,1216.9929540032172,1.2185829982627183,1.2185829982627183,1.2185829982627183,24260096,114982912,122451.025,128.0,5.385,1975.915,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00008,1,114,1,0.2,42,2048,128,False,main-s00259,0.95,1000,1,True,True,0.95,1.0340419994463446,1.1161478969370364,1032.844306941115,1.0340419994463446,1.0340419994463446,1.0340419994463446,24260096,115032064,109290.169,114.564,15.024,1769.315,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00000,1,114,1,0,7,2048,128,False,main-s00259,0.95,1000,1,True,True,0.95,1.0385210007370915,1.1211392515178886,1035.5888700069045,1.0385210007370915,1.0385210007370915,1.0385210007370915,24260096,115032064,109276.744,114.499,15.024,1767.008,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00003,1,114,1,0.1,7,2048,128,False,main-s00259,0.95,1000,1,True,True,0.95,1.034229000651976,1.1167142476551817,1032.902466984524,1.034229000651976,1.034229000651976,1.034229000651976,24260096,115032064,109276.872,114.503,15.024,1767.152,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00031,100,287,1,0.1,23,2048,8192,False,main-s00295,0.95,1000,1,True,True,0.95014,2.6123119987460086,2.744970197090879,2609.079700003349,2.6123119987460086,2.6123119987460086,2.6123119987460086,24260096,115048448,276001.612,288.34,30.63,4471.686,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00024,100,287,1,0.2,7,2048,128,False,main-s00295,0.95,1000,1,True,True,0.84641,1.2304374995437684,1.3112666518281912,1232.6280719717033,1.2304374995437684,1.2304374995437684,1.2304374995437684,24260096,115048448,122504.204,128.0,5.154,1976.787,0.0,0.0,0.0
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,nomic-msmarco-d64-probability-s00035,100,287,1,0.2,42,2048,8192,False,main-s00295,0.95,1000,1,True,True,0.95014,2.6209169991489034,2.753399999892281,2613.739827029349,2.6209169991489034,2.6209169991489034,2.6209169991489034,24260096,115048448,276002.194,288.343,30.63,4471.785,0.0,0.0,0.0
