method,clusters,router,setting_id,top_k,probes,repetitions,start_depth,candidate_target,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,exploration,seed,leaf_size,node_budget,prefer_deeper_ties
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-4096-seed42,main-s00422,100,40,1,,,3000,3,True,True,0.50745,0.14529200052493252,0.16175210184883326,437.41915918144514,0.14456250028160866,0.1443545006623026,0.14712499978486449,16000000,105824256,9620.057,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-4096-seed42,main-s00419,1,341,1,,,3000,3,True,True,0.95,0.8050835003814427,0.8724580502530443,2416.426882115047,0.8035415012273006,0.802041500719497,0.811042000350426,16000000,105824256,80928.557,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-4096-seed42,main-s00418,1,161,1,,,3000,3,True,True,0.9,0.4033124987472547,0.4443464502401184,1211.2843080649327,0.40368749978370033,0.40091699884214904,0.4056250018038554,16000000,105824256,38227.912,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-1024-seed42,main-s00241,1,3,1,,,3000,3,True,True,0.501,0.040041000829660334,0.049294050768367,121.29427399122505,0.040166500184568577,0.03970900070271455,0.04025000089313835,24260096,115032064,2977.957,3.039,1.32,48.163,0.0,0.0,0.0,0,42,2048,8192,False
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-4096-seed42,main-s00475,100,261,1,,,3000,3,True,True,0.80033,0.7120414993551094,0.775254198742914,2139.3874490640883,0.7122704992070794,0.7104374999471474,0.7138959990697913,25028096,115392512,61908.513,261.0,0.0,1095.871,0.0,0.0,0.0,0,42,2048,8192,False
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-4096-seed42,main-s00487,100,969,1,,,3000,3,True,True,0.95006,2.396895999481785,2.5323339979877346,7185.022759913409,2.397812499111751,2.393562501310953,2.400395998847671,25028096,115081216,230920.879,969.0,0.0,4082.916,0.0,0.0,0.0,0,42,2048,8192,False
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-64-seed42,main-s00072,1,33,1,,,3000,3,True,True,0.99,2.470000001267181,7.540768750732241,9083.310373895074,2.453000000969041,2.4514374999853317,2.5156249994324753,24015872,101515264,60433.95,3449.756,625757.913,240643.209,0.0,0.0,0.0,0,42,128,8192,True
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-4096-seed42,main-s00451,1,341,1,,,3000,3,True,True,0.95,0.8700415000930661,0.9433107514269067,2612.138302101812,0.8676875004312024,0.8669375019962899,0.8769169980951119,25028096,115228672,80928.557,341.0,0.0,1432.203,0.0,0.0,0.0,0,42,2048,8192,False
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-4096-seed42,main-s00563,100,261,1,0,0,3000,3,True,True,0.80033,0.6541459988511633,0.7119211470126174,1963.6271760791715,0.6561250011145603,0.6487084992841119,0.6572709989995928,20000000,103530496,61908.513,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-4096-seed42,main-s00527,1,341,1,0,0,3000,3,True,True,0.95,0.795958500020788,0.8646249989396892,2386.2308350289823,0.7972085004439577,0.7873955000832211,0.8015210005396511,20000000,103743488,80928.557,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-4096-seed42,main-s00424,100,575,1,,,3000,3,True,True,0.90001,1.3731459985137917,1.4722226012963802,4122.814068043226,1.372312501189299,1.3702079995709937,1.376353999148705,16000000,105938944,136621.974,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-4096-seed42,main-s00426,100,1976,1,,,3000,3,True,True,0.99,4.4015209987264825,4.5839642982173245,13235.725840888335,4.409729499457171,4.380728998512495,4.411062502185814,16000000,105938944,474683.121,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-4096-seed42,main-s00481,100,575,1,,,3000,3,True,True,0.90001,1.4762080008949852,1.5840944022784242,4437.936117963545,1.4745210010005394,1.472041500164778,1.4811039982305374,25028096,115326976,136621.974,575.0,0.0,2416.702,0.0,0.0,0.0,0,42,2048,8192,False
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-4096-seed42,main-s00493,100,1976,1,,,3000,3,True,True,0.99,4.771624999193591,4.9463023997304845,14312.938516894064,4.7680414991191356,4.755500000101165,4.7891454996715765,25028096,115261440,474683.121,1976.0,0.0,8384.263,0.0,0.0,0.0,0,42,2048,8192,False
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-4096-seed42,main-s00420,1,1040,1,,,3000,3,True,True,0.99,2.347521001865971,2.482002099714009,7029.343985072046,2.350583499719505,2.328500002477085,2.3603335012012394,16000000,105627648,247987.295,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-4096-seed42,main-s00417,1,56,1,,,3000,3,True,True,0.8,0.1554789996589534,0.17379199944116408,468.0551899509737,0.15645799794583581,0.15366700245067477,0.15645799976482522,16000000,105627648,13411.089,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-4096-seed42,main-s00469,100,40,1,,,3000,3,True,True,0.50745,0.1556250026624184,0.17379199925926514,468.507034904178,0.1550625001982553,0.1548750005895272,0.1568750012665987,25028096,115294208,9620.057,40.0,0.0,170.211,0.0,0.0,0.0,0,42,2048,8192,False
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-4096-seed42,main-s00518,1,161,1,0,0,3000,3,True,True,0.9,0.39822949838708155,0.4400440500830882,1196.127571973193,0.39906250094645657,0.39418750020558946,0.402082998334663,20000000,103514112,38227.912,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
branch,64,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-64-seed42,main-s00063,1,15,1,,,3000,3,True,True,0.924,0.2594170000520535,0.36912710220349254,794.899967047968,0.2595209971332224,0.25810450097196735,0.2610420015116688,24015872,101498880,1389.31,500.775,105271.822,20726.76,0.0,0.0,0.0,0,42,32,512,True
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-4096-seed42,main-s00536,1,1040,1,0,0,3000,3,True,True,0.99,2.283271000123932,2.4181312510336284,6845.9074590828095,2.284187499753898,2.2810834998381324,2.2851880003145197,20000000,103514112,247987.295,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
