method,clusters,router,setting_id,top_k,probes,repetitions,start_depth,candidate_target,stop_when_exact,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,exploration,seed,leaf_size,node_budget,prefer_deeper_ties
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary-main-s00540,100,190,1,1,0,True,3000,3,True,True,0.90103,0.525313000252936,0.6009201988490531,1576.5173550789768,0.5261250007606577,0.5231249997450504,0.5271669997455319,20000000,104316928,45976.508,0.0,0.0,0.0,1.998,380.0,0.002,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary-main-s00520,1,420,1,1,0,True,3000,3,True,True,0.99,1.0319374996470287,1.1493170019093666,3085.4860979852674,1.0352709996368503,1.0247289992548758,1.0356249986216426,20000000,104316928,101229.337,0.0,0.0,0.0,1.925,840.0,0.075,,,,,
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-1024-seed42,nomic-msmarco-d64-binary-main-s00421,100,8,1,4,0,True,3000,3,True,True,0.50931,0.10962499982269946,0.13354615184653082,332.0932000169705,0.10962499982269946,0.10883399954764172,0.11052050103899091,20000000,103727104,7788.238,0.0,0.0,0.0,4.998,64.0,0.002,,,,,
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-1024-seed42,nomic-msmarco-d64-binary-main-s00364,1,196,1,,,,3000,3,True,True,0.99,1.7641250015003607,2.0229651974659646,5324.486937064648,1.763750000463915,1.7616664990782738,1.7675835006230045,24267776,116244480,191632.02,196.283,7.31,3096.036,0.0,0.0,0.0,0,42,2048,8192,False
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary-main-s00539,100,89,1,0,0,False,3000,3,True,True,0.80059,0.2573750007286435,0.29737499808106804,773.8515079145145,0.2582499982963782,0.25406250097148586,0.2606249981909059,20000000,105070592,21470.908,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary-main-s00512,1,60,1,1,0,True,3000,3,True,True,0.901,0.17068799934349954,0.1967110492842039,511.224281090108,0.1692709975031903,0.16895799853955396,0.1734160014166264,20000000,105070592,14365.447,0.0,0.0,0.0,1.925,120.0,0.075,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary-main-s00452,1,420,1,,,,3000,3,True,True,0.99,0.9982495012081927,1.1334104472553006,2994.4530880202365,0.999937499727821,0.9919165022438392,1.0043335023510735,16000000,107118592,102181.375,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary-main-s00467,1,28,1,,,,3000,3,True,True,0.801,0.09802099884836935,0.11420805003581336,295.29249000552227,0.09818800026550889,0.09662500087870285,0.09929200132319238,25026560,116867072,6758.865,28.0,0.0,119.19,0.0,0.0,0.0,0,42,2048,8192,False
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary-main-s00458,100,333,1,,,,3000,3,True,True,0.95013,0.8358749983017333,0.9487909994277288,2507.233650998387,0.8372709980903892,0.8294164999824716,0.842499999635038,16000000,107315200,80876.209,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary-main-s00459,100,812,1,,,,3000,3,True,True,0.99001,1.9148745013808366,2.1077121982671088,5759.183987014694,1.9159375005983748,1.903479498650995,1.9262085006630514,16000000,107315200,198350.723,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary-main-s00485,100,17,1,,,,3000,3,True,True,0.50894,0.09570899965183344,0.10791699969558977,287.8361169641721,0.09579200013831723,0.09525000132271089,0.0959999997576233,25026560,116523008,4114.464,17.0,0.0,72.53,0.0,0.0,0.0,0,42,2048,8192,False
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary-main-s00497,100,812,1,,,,3000,3,True,True,0.99001,2.071291501124506,2.2739190515494556,6206.584398954874,2.073062500130618,2.0618540002033114,2.0781459988938877,25026560,116817920,198350.723,812.0,0.0,3494.7,0.0,0.0,0.0,0,42,2048,8192,False
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary-main-s00551,100,812,1,0,0,False,3000,3,True,True,0.99001,1.8746249988907948,2.072052399853419,5628.97980292837,1.8721249998634448,1.8683334983506938,1.8824994986061938,20000000,104235008,198350.723,0.0,0.0,0.0,1.0,0.0,0.0,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary-main-s00456,100,89,1,,,,3000,3,True,True,0.80059,0.2622920001158491,0.30229729873099126,787.8358299021784,0.2638125006342307,0.25981249928008765,0.26412499937578104,16000000,107446272,21470.908,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary-main-s00448,1,5,1,,,,3000,3,True,True,0.506,0.0362089995178394,0.04033299792354228,109.32115897594485,0.036541998269967735,0.035270501030026935,0.03691700112540275,16000000,107446272,1216.902,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary-main-s00449,1,28,1,,,,3000,3,True,True,0.801,0.09029200009535998,0.10483305122761521,271.6083680134034,0.09091650099435356,0.08866600001056213,0.09118749949266203,16000000,107446272,6758.865,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-1024-seed42,nomic-msmarco-d64-binary-main-s00392,1,3,1,1,0,True,3000,3,True,True,0.503,0.036833000194747,0.0456669986306224,111.1678219785972,0.03670800106192473,0.036541998269967735,0.03716649916896131,20000000,104431616,2927.925,0.0,0.0,0.0,1.935,6.0,0.065,,,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary-main-s00494,100,333,1,,,,3000,3,True,True,0.95013,0.8983959996839985,1.0188434480369324,2694.6148738788906,0.8969789996626787,0.8950414976425236,0.9032084999489598,25026560,116801536,80876.209,333.0,0.0,1425.568,0.0,0.0,0.0,0,42,2048,8192,False
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary-main-s00488,100,89,1,,,,3000,3,True,True,0.80059,0.27916699946217705,0.3214211492377217,838.6189830016519,0.27962499916611705,0.278061999779311,0.28077050228603184,25026560,116801536,21470.908,89.0,0.0,378.729,0.0,0.0,0.0,0,42,2048,8192,False
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary-main-s00516,1,123,1,1,0,True,3000,3,True,True,0.951,0.33089600219682325,0.379542001610389,990.8193021692568,0.33145850102300756,0.3292920009698719,0.33197950142493937,20000000,104480768,29465.789,0.0,0.0,0.0,1.925,246.0,0.075,,,,,
