method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,original_setting_id,source_study,source_folder,source_ram_budget_bytes,router_stored_fields_bytes,stored_fields_with_router_bytes,mean_opened_rows,opened_rows_scan_setting_id,target,repeat_status,repeat_setting_id,repeat_p50_ms,repeat_p95_ms,repeat_recall,repeat_meets_target,repeat_process_p50_min_ms,repeat_process_p50_max_ms,exploration,seed,leaf_size,node_budget,prefer_deeper_ties,start_depth,candidate_target,stop_when_exact
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00473,1,123,1,1000,1,True,True,0.951,0.3470619994914159,0.4047541506224661,347.08432403203915,0.3470619994914159,0.3470619994914159,0.3470619994914159,25026560,116719616,29700.991,123.0,0.0,523.872,0.0,0.0,0.0,nomic-msmarco-d64-binary-main-s00473,nomic-msmarco-d64-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64-binary,32000000000,1081344,26107904,29700.991,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00451,0.95,qualified,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00473,0.3451664997555781,0.4044190518470714,0.951,True,0.34289550058019813,0.34699999923759606,0,42,2048,8192,False,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00516,1,123,1,1000,1,True,True,0.951,0.3344169999763835,0.38337710157065885,333.5453669678827,0.3344169999763835,0.3344169999763835,0.3344169999763835,20000000,104660992,29465.789,0.0,0.0,0.0,1.925,246.0,0.075,nomic-msmarco-d64-binary-main-s00516,nomic-msmarco-d64-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64-binary,32000000000,1081344,21081344,29700.991,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00451,0.95,qualified,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00516,0.33089600219682325,0.379542001610389,0.951,True,0.3292920009698719,0.33197950142493937,,,,,,1,0,True
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00452,1,420,1,1000,1,True,True,0.99,1.0082500011776574,1.1456919499323703,1008.4572559826483,1.0082500011776574,1.0082500011776574,1.0082500011776574,16000000,107151360,102181.375,0.0,0.0,0.0,0.0,0.0,0.0,nomic-msmarco-d64-binary-main-s00452,nomic-msmarco-d64-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64-binary,32000000000,1081344,17081344,102181.375,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00452,0.99,qualified,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00452,0.9982495012081927,1.1334104472553006,0.99,True,0.9919165022438392,1.0043335023510735,,,,,,,,
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-1024-seed42,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00364,1,196,1,1000,1,True,True,0.99,1.7542710011184681,2.006685099513561,1763.1389239504642,1.7542710011184681,1.7542710011184681,1.7542710011184681,24267776,116047872,191632.02,196.283,7.31,3096.036,0.0,0.0,0.0,nomic-msmarco-d64-binary-main-s00364,nomic-msmarco-d64-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64-binary,32000000000,270336,24538112,191646.321,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00340,0.99,qualified,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00364,1.7641250015003607,2.0229651974659646,0.99,True,1.7616664990782738,1.7675835006230045,0,42,2048,8192,False,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00520,1,420,1,1000,1,True,True,0.99,1.0375834990554722,1.1559125010535354,1034.834809062886,1.0375834990554722,1.0375834990554722,1.0375834990554722,20000000,105381888,101229.337,0.0,0.0,0.0,1.925,840.0,0.075,nomic-msmarco-d64-binary-main-s00520,nomic-msmarco-d64-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64-binary,32000000000,1081344,21081344,102181.375,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00452,0.99,qualified,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00520,1.0319374996470287,1.1493170019093666,0.99,True,1.0247289992548758,1.0356249986216426,,,,,,1,0,True
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00455,100,17,1,1000,1,True,True,0.50894,0.09077049980987795,0.10216909959126497,90.8980530257395,0.09077049980987795,0.09077049980987795,0.09077049980987795,16000000,107560960,4114.464,0.0,0.0,0.0,0.0,0.0,0.0,nomic-msmarco-d64-binary-main-s00455,nomic-msmarco-d64-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64-binary,32000000000,1081344,17081344,4114.464,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00455,0.5,qualified,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00455,0.09008350025396794,0.1016270489344606,0.50894,True,0.08981249993667006,0.09054149995790794,,,,,,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00485,100,17,1,1000,1,True,True,0.50894,0.09637500079406891,0.11013330167770617,96.93904992673197,0.09637500079406891,0.09637500079406891,0.09637500079406891,25026560,116539392,4114.464,17.0,0.0,72.53,0.0,0.0,0.0,nomic-msmarco-d64-binary-main-s00485,nomic-msmarco-d64-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64-binary,32000000000,1081344,26107904,4114.464,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00455,0.5,qualified,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00485,0.09570899965183344,0.10791699969558977,0.50894,True,0.09525000132271089,0.0959999997576233,0,42,2048,8192,False,,,
prefix,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-1024-seed42,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00421,100,8,1,1000,1,True,True,0.50931,0.10731200018199161,0.13029824913246557,108.49802501616068,0.10731200018199161,0.10731200018199161,0.10731200018199161,20000000,103333888,7788.238,0.0,0.0,0.0,4.998,64.0,0.002,nomic-msmarco-d64-binary-main-s00421,nomic-msmarco-d64-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64-binary,32000000000,270336,20270336,7789.116,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00343,0.5,qualified,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00421,0.10962499982269946,0.13354615184653082,0.50931,True,0.10883399954764172,0.11052050103899091,,,,,,4,0,True
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00456,100,89,1,1000,1,True,True,0.80059,0.2602499989734497,0.3006069007824408,260.5623719646246,0.2602499989734497,0.2602499989734497,0.2602499989734497,16000000,107053056,21470.908,0.0,0.0,0.0,0.0,0.0,0.0,nomic-msmarco-d64-binary-main-s00456,nomic-msmarco-d64-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64-binary,32000000000,1081344,17081344,21470.908,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00456,0.8,qualified,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00456,0.2622920001158491,0.30229729873099126,0.80059,True,0.25981249928008765,0.26412499937578104,,,,,,,,
branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00488,100,89,1,1000,1,True,True,0.80059,0.2819170003931504,0.32531489960092586,282.8420070181892,0.2819170003931504,0.2819170003931504,0.2819170003931504,25026560,116490240,21470.908,89.0,0.0,378.729,0.0,0.0,0.0,nomic-msmarco-d64-binary-main-s00488,nomic-msmarco-d64-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64-binary,32000000000,1081344,26107904,21470.908,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00456,0.8,qualified,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00488,0.27916699946217705,0.3214211492377217,0.80059,True,0.278061999779311,0.28077050228603184,0,42,2048,8192,False,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00539,100,89,1,1000,1,True,True,0.80059,0.2583130008133594,0.2985461496791686,259.56969903199933,0.2583130008133594,0.2583130008133594,0.2583130008133594,20000000,104415232,21470.908,0.0,0.0,0.0,1.0,0.0,0.0,nomic-msmarco-d64-binary-main-s00539,nomic-msmarco-d64-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64-binary,32000000000,1081344,21081344,21470.908,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00456,0.8,qualified,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00539,0.2573750007286435,0.29737499808106804,0.80059,True,0.25406250097148586,0.2606249981909059,,,,,,0,0,False
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00457,100,190,1,1000,1,True,True,0.90103,0.513478998982464,0.5921722477069125,514.6848180265806,0.513478998982464,0.513478998982464,0.513478998982464,16000000,106987520,45982.86,0.0,0.0,0.0,0.0,0.0,0.0,nomic-msmarco-d64-binary-main-s00457,nomic-msmarco-d64-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64-binary,32000000000,1081344,17081344,45982.86,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00457,0.9,qualified,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00457,0.505812498886371,0.5802930982099497,0.90103,True,0.5036670008848887,0.5079790007584961,,,,,,,,
branch,1024,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-1024-seed42,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00379,100,78,1,1000,1,True,True,0.90106,0.7510829982493306,0.8917191011278192,757.2541189510957,0.7510829982493306,0.7510829982493306,0.7510829982493306,24267776,115965952,75868.667,78.12,2.482,1226.461,0.0,0.0,0.0,nomic-msmarco-d64-binary-main-s00379,nomic-msmarco-d64-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64-binary,32000000000,270336,24538112,75868.667,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00345,0.9,qualified,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00379,0.7407704997604014,0.8854232009980478,0.90106,True,0.7258540008479031,0.7484380021196557,0,42,2048,8192,False,,,
prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00540,100,190,1,1000,1,True,True,0.90103,0.5245209995337063,0.5954021004072274,523.7836080486886,0.5245209995337063,0.5245209995337063,0.5245209995337063,20000000,105381888,45976.508,0.0,0.0,0.0,1.998,380.0,0.002,nomic-msmarco-d64-binary-main-s00540,nomic-msmarco-d64-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64-binary,32000000000,1081344,21081344,45982.86,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00457,0.9,qualified,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00540,0.525313000252936,0.6009201988490531,0.90103,True,0.5231249997450504,0.5271669997455319,,,,,,1,0,True
scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d64/routers/ivf-binary-4096-seed42,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00458,100,333,1,1000,1,True,True,0.95013,0.8372704996872926,0.9503454968580627,836.1773790493316,0.8372704996872926,0.8372704996872926,0.8372704996872926,16000000,107102208,80876.209,0.0,0.0,0.0,0.0,0.0,0.0,nomic-msmarco-d64-binary-main-s00458,nomic-msmarco-d64-binary,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/.worktrees/optima-study/results/prefix-study-2026-09-13/nomic-msmarco-d64-binary,32000000000,1081344,17081344,80876.209,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00458,0.95,qualified,nomic-msmarco-d64-binary::nomic-msmarco-d64-binary-main-s00458,0.8358749983017333,0.9487909994277288,0.95013,True,0.8294164999824716,0.842499999635038,,,,,,,,
