target,meets_target,method,clusters,router,setting_id,top_k,probes,repetitions,measurements,complete_processes,complete,qualified,recall,p50_ms,p95_ms,total_query_ms,process_p50_median_ms,process_p50_min_ms,process_p50_max_ms,logical_index_bytes,lifetime_peak_bytes,mean_documents_scored,mean_nodes,mean_bitplane_words,mean_leaf_words,mean_prefix_levels,mean_prefix_lookups,mean_final_depth,leaf_size,node_budget,exploration,seed,start_depth,candidate_target
0.95,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00422,1,125,1,3000,3,True,True,0.95,1.4097919993218966,1.5587708518069119,4251.769439943018,1.4087705003476003,1.4074374994379468,1.413208499798202,76110336,221904896,30948.356,125.0,0.0,544.017,0.0,0.0,0.0,2048,512,0,42,,
0.95,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00497,1,125,1,3000,3,True,True,0.95,1.4840624990029028,1.6697142989869462,4473.094302920799,1.4849584968033014,1.4781669997319113,1.486624500103062,44000000,157204480,30948.356,0.0,0.0,0.0,17.0,4000.0,0.0,,,,,16,100000
0.99,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00394,1,527,1,3000,3,True,True,0.99,5.094249498142744,5.411631249444326,15268.408181116683,5.092916999274166,5.0903544997709105,5.100457998196362,40000000,184549376,128686.342,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0.99,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00427,1,527,1,3000,3,True,True,0.99,5.550041500100633,5.905550348870747,16631.10632894677,5.563958500715671,5.515916498552542,5.573166999965906,76110336,221904896,128686.342,527.0,0.0,2266.713,0.0,0.0,0.0,2048,8192,0,42,,
0.99,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00504,1,527,1,3000,3,True,True,0.99,5.931416499151965,6.49988334862428,17832.427599936636,5.924437500652857,5.918124998061103,5.9604369998851325,44000000,157204480,128686.342,0.0,0.0,0.0,17.0,16864.0,0.0,,,,,16,0
0.5,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00396,10,3,1,3000,3,True,True,0.5101,0.11220799933653325,0.12774999795510666,339.43028201247216,0.11177099986525718,0.11166699914610945,0.11281250044703484,40000000,184549376,801.38,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0.5,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00434,10,3,1,3000,3,True,True,0.5101,0.1218544985022163,0.13801249951939093,368.6590520956088,0.12160450023657177,0.12112500189687125,0.12289600090298336,76110336,221904896,801.38,3.0,0.0,13.987,0.0,0.0,0.0,2048,512,0,42,,
0.5,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00511,10,3,1,3000,3,True,True,0.5101,0.11737499880837277,0.13404520177573429,354.8787219624501,0.11787500079663005,0.11625000115600415,0.11799999992945231,44000000,157204480,801.38,0.0,0.0,0.0,17.0,96.0,0.0,,,,,16,10000
0.8,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00397,10,35,1,3000,3,True,True,0.8008,0.4241665010340512,0.48133399832295254,1276.898707041255,0.42406249849591404,0.42262500028300565,0.42639599996618927,40000000,184549376,8847.072,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0.8,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00438,10,35,1,3000,3,True,True,0.8008,0.444041999799083,0.5020839998906013,1336.6173651265854,0.44424999941838905,0.4435210012161406,0.44462500227382407,76110336,221904896,8847.072,35.0,0.0,155.191,0.0,0.0,0.0,2048,512,0,42,,
0.8,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00516,10,35,1,3000,3,True,True,0.8004,0.47900000026857015,0.5478443525134934,1444.8844679682225,0.4790625025634654,0.47820849977142643,0.47956249909475446,44000000,157204480,8840.137,0.0,0.0,0.0,16.975,1119.02,0.025,,,,,16,10000
0.9,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00398,10,118,1,3000,3,True,True,0.9002,1.2303124985919567,1.357999997890147,3707.4830519959505,1.2295204996917164,1.228583498232183,1.232166499903542,40000000,184549376,29231.202,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0.9,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00442,10,118,1,3000,3,True,True,0.9002,1.2762295009451918,1.4188360526532051,3851.8550629451056,1.277312499951222,1.272583498575841,1.2784790014848113,76110336,221904896,29231.202,118.0,0.0,513.787,0.0,0.0,0.0,2048,512,0,42,,
0.9,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00522,10,118,1,3000,3,True,True,0.9002,1.411812500009546,1.5924190502119018,4259.580638947227,1.411812500009546,1.4110420015640557,1.4119999996182742,44000000,157204480,29231.202,0.0,0.0,0.0,17.0,3776.0,0.0,,,,,16,100000
0.95,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00399,10,289,1,3000,3,True,True,0.9501,2.8573335002874956,3.094291648085345,8594.67297099036,2.8582919985638,2.855666500181542,2.8585830004885793,40000000,184549376,70870.196,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0.95,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00447,10,289,1,3000,3,True,True,0.9501,2.9401669999060687,3.1646006525988923,8826.908479091799,2.9388960010692244,2.9366875023697503,2.944750000096974,76110336,221904896,70870.196,289.0,0.0,1247.491,0.0,0.0,0.0,2048,8192,0,42,,
0.95,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00527,10,289,1,3000,3,True,True,0.9501,3.322728998682578,3.6710413482069266,9983.582838940492,3.3193540020874934,3.3188544985023327,3.3326875018246938,44000000,157204480,70870.196,0.0,0.0,0.0,17.0,9248.0,0.0,,,,,16,100000
0.99,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00400,10,994,1,3000,3,True,True,0.99,9.481478997258819,9.906823247365537,28411.16587190845,9.481125000093016,9.47762500072713,9.491854001680622,40000000,184549376,242528.686,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0.99,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00451,10,994,1,3000,3,True,True,0.99,9.799562500120373,10.260895848659857,29378.61026113751,9.789271000045119,9.774562500751927,9.826999999859254,76110336,221904896,242528.686,994.0,0.0,4272.753,0.0,0.0,0.0,2048,8192,0,42,,
0.99,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00534,10,994,1,3000,3,True,True,0.99,11.126291499749641,12.069460099155549,33419.531698811625,11.13441649977176,11.109416500403313,11.141103999761981,44000000,157204480,242528.686,0.0,0.0,0.0,17.0,31808.0,0.0,,,,,16,0
0.5,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00402,100,9,1,3000,3,True,True,0.51447,0.19639599850052036,0.22470804760814644,592.9721118918678,0.1965415012818994,0.1960835015779594,0.19670850088004954,40000000,184549376,2366.209,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0.5,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00459,100,9,1,3000,3,True,True,0.51447,0.20941649927408434,0.2397499993094243,632.5344110809965,0.21097949866089039,0.2061669983959291,0.21106299936946016,76110336,221904896,2366.209,9.0,0.0,41.376,0.0,0.0,0.0,2048,8192,0,42,,
0.5,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00542,100,9,1,3000,3,True,True,0.51447,0.21233299958112184,0.2435881497149239,641.537115941901,0.2126045001205057,0.21131249923200812,0.21293750069162343,44000000,157204480,2366.209,0.0,0.0,0.0,17.0,288.0,0.0,,,,,16,100000
0.8,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00403,100,87,1,3000,3,True,True,0.80098,0.9743754999362864,1.0855104501388269,2929.0027000279224,0.9738960015965858,0.9655835001467494,0.9824789995036554,40000000,184549376,21658.065,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0.8,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00462,100,87,1,3000,3,True,True,0.80098,0.9912705008900957,1.099135398362705,2985.7575990245095,0.9935835005308036,0.9872500013443641,0.9946454993041698,76110336,221904896,21658.065,87.0,0.0,380.473,0.0,0.0,0.0,2048,512,0,42,,
0.8,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00548,100,87,1,3000,3,True,True,0.80098,1.0914790000242647,1.2294523976379421,3291.8016708135838,1.0936455000774004,1.0880204990826314,1.0938959985651309,44000000,157204480,21658.065,0.0,0.0,0.0,17.0,2784.0,0.0,,,,,16,500000
0.9,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00404,100,246,1,3000,3,True,True,0.90028,2.5049169998965226,2.735296147147892,7529.99157492377,2.5062914992304286,2.4938329988799524,2.5118329995166278,40000000,184549376,60451.827,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0.9,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00467,100,246,1,3000,3,True,True,0.90028,2.5611459986976115,2.7805708525193036,7690.898680088139,2.5622085013310425,2.5561045003996696,2.564312499089283,76110336,221904896,60451.827,246.0,0.0,1063.755,0.0,0.0,0.0,2048,8192,0,42,,
0.9,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00553,100,246,1,3000,3,True,True,0.90028,2.884729499783134,3.193307698893477,8672.448732930206,2.8816249996452825,2.8796040005545365,2.8907289997732732,44000000,157204480,60451.827,0.0,0.0,0.0,17.0,7872.0,0.0,,,,,16,500000
0.95,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00405,100,513,1,3000,3,True,True,0.95003,5.02120849887433,5.375249698590778,15063.569665959221,5.024728998250794,5.013583499021479,5.0277499976800755,40000000,184549376,125302.799,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0.95,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00471,100,513,1,3000,3,True,True,0.95003,5.164979000255698,5.478924348608416,15476.592076036468,5.1638334971357835,5.163812498722109,5.169479001779109,76110336,221904896,125302.799,513.0,0.0,2207.033,0.0,0.0,0.0,2048,8192,0,42,,
0.95,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00559,100,513,1,3000,3,True,True,0.95003,5.836271000589477,6.411260400454921,17564.184603805188,5.835375000970089,5.830957999933162,5.838770999616827,44000000,157204480,125302.799,0.0,0.0,0.0,17.0,16416.0,0.0,,,,,16,0
0.99,True,scan,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00406,100,1414,1,3000,3,True,True,0.99002,13.452979501380469,13.956022898855736,40325.655636966985,13.457895998726599,13.44829200024833,13.458416498906445,40000000,184549376,345279.339,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
0.99,True,branch,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00475,100,1414,1,3000,3,True,True,0.99002,13.86616700074228,14.381470500484284,41570.961520945275,13.861478999388055,13.856500501788105,13.878125000701402,76110336,221904896,345279.339,1414.0,0.0,6083.381,0.0,0.0,0.0,2048,8192,0,42,,
0.99,True,prefix,4096,/Users/vinroger/DATA/STUDY/latihan/about/exa-interview/e2e-inverted-bitplane-project/data/prefix-study-2026-09-13/pools/nomic-msmarco-d256/routers/ivf-4096-seed42,main-s00563,100,1414,1,3000,3,True,True,0.99002,15.909292000287678,17.13222914822836,47740.236031906534,15.887583500443725,15.881291999903624,15.970354001183296,44000000,157204480,345279.339,0.0,0.0,0.0,17.0,45248.0,0.0,,,,,16,500000
